scheduler_a,scheduler_b,pair,prompt_id,prompt,clip_a,clip_b,clip_delta,lpips
DDIM,DPM,DDIM-DPM,pp_001,artificial intelligence,0.2291,0.2502,0.0211,0.326232
DDIM,DPM,DDIM-DPM,pp_002,a shiba inu,0.3178,0.333,0.0152,0.58326
DDIM,DPM,DDIM-DPM,pp_003,a dragon,0.2752,0.2871,0.0119,0.394867
DDIM,DPM,DDIM-DPM,pp_004,a shiba inu wearing a beret and black turtleneck,0.4008,0.3922,-0.0086,0.26366
DDIM,DPM,DDIM-DPM,pp_005,a corgi wearing a red bowtie and a purple party hat,0.3554,0.3468,-0.0086,0.49875
DDIM,DPM,DDIM-DPM,pp_006,an eagle swooping down to catch a mouse,0.3007,0.3067,0.006,0.502491
DDIM,DPM,DDIM-DPM,pp_007,an elephant using its trunk to blow into a tuba,0.2972,0.3019,0.0047,0.33478
DDIM,DPM,DDIM-DPM,pp_008,a dolphin in an astronaut suit on saturn,0.2926,0.322,0.0294,0.483117
DDIM,DPM,DDIM-DPM,pp_009,an oil painting of a sailboat at sunset,0.3512,0.3421,-0.0091,0.098876
DDIM,DPM,DDIM-DPM,pp_010,A tornado made of sharks crashing into a skyscraper. painting in the style of Hokusai.,0.3265,0.2921,-0.0344,0.533732
DDIM,DPM,DDIM-DPM,pp_011,a coffee mug,0.2741,0.2736,-0.0005,0.257371
DDIM,DPM,DDIM-DPM,pp_012,a red lego block,0.3016,0.2951,-0.0065,0.534323
DDIM,DPM,DDIM-DPM,pp_013,"an ornate, high-backed mahogany chair with a red cushion",0.3689,0.336,-0.0329,0.534707
DDIM,DPM,DDIM-DPM,pp_014,A bowl of Pho served with bean sprouts on top,0.286,0.3013,0.0153,0.622451
DDIM,DPM,DDIM-DPM,pp_015,a bloody mary cocktail next to a napkin,0.2775,0.296,0.0185,0.717764
DDIM,DPM,DDIM-DPM,pp_016,A bare kitchen has wood cabinets and white appliances,0.3046,0.304,-0.0006,0.27667
DDIM,DPM,DDIM-DPM,pp_017,a room with two chairs and a painting of the Statue of Liberty,0.3096,0.352,0.0424,0.391828
DDIM,DPM,DDIM-DPM,pp_018,waterfall,0.2848,0.3228,0.038,0.433286
DDIM,DPM,DDIM-DPM,pp_019,a fall landscape with a small cottage next to a lake,0.3451,0.3465,0.0014,0.201086
DDIM,DPM,DDIM-DPM,pp_020,a professional photo of a sunset behind the grand canyon,0.3116,0.312,0.0004,0.338688
DDIM,DPM,DDIM-DPM,pp_021,a cityscape at night with a full moon,0.2943,0.2804,-0.0139,0.535442
DDIM,DPM,DDIM-DPM,pp_022,a young girl playing piano,0.3311,0.3533,0.0222,0.500925
DDIM,DPM,DDIM-DPM,pp_023,a ballet dancer next to a waterfall,0.3468,0.3526,0.0058,0.268228
DDIM,DPM,DDIM-DPM,pp_024,the Beatles crossing Abbey road,0.3223,0.3117,-0.0106,0.357915
DDIM,DPM,DDIM-DPM,pp_025,a bundle of blue and yellow flowers in a vase,0.3675,0.36,-0.0075,0.313423
DDIM,DPM,DDIM-DPM,pp_026,a steam locomotive speeding through a desert,0.3874,0.3862,-0.0012,0.422073
DDIM,DPM,DDIM-DPM,pp_027,a large white yacht tossed about in a stormy sea,0.3096,0.3076,-0.002,0.218337
DDIM,DPM,DDIM-DPM,pp_028,the Eiffel Tower,0.2999,0.2971,-0.0028,0.573282
DDIM,DPM,DDIM-DPM,pp_029,The Statue of Liberty with the Manhattan skyline in the background.,0.3023,0.3091,0.0068,0.190605
DDIM,DPM,DDIM-DPM,pp_030,Golden Gate bridge on the surface of Mars,0.3058,0.3257,0.0199,0.398587
DDIM,EulerA,DDIM-EulerA,pp_001,artificial intelligence,0.2291,0.2909,0.0618,0.736389
DDIM,EulerA,DDIM-EulerA,pp_002,a shiba inu,0.3178,0.3196,0.0018,0.781209
DDIM,EulerA,DDIM-EulerA,pp_003,a dragon,0.2752,0.2658,-0.0094,0.80867
DDIM,EulerA,DDIM-EulerA,pp_004,a shiba inu wearing a beret and black turtleneck,0.4008,0.3862,-0.0146,0.78805
DDIM,EulerA,DDIM-EulerA,pp_005,a corgi wearing a red bowtie and a purple party hat,0.3554,0.3789,0.0235,0.81663
DDIM,EulerA,DDIM-EulerA,pp_006,an eagle swooping down to catch a mouse,0.3007,0.3028,0.0021,0.654804
DDIM,EulerA,DDIM-EulerA,pp_007,an elephant using its trunk to blow into a tuba,0.2972,0.287,-0.0102,0.750582
DDIM,EulerA,DDIM-EulerA,pp_008,a dolphin in an astronaut suit on saturn,0.2926,0.3085,0.0159,0.847185
DDIM,EulerA,DDIM-EulerA,pp_009,an oil painting of a sailboat at sunset,0.3512,0.3321,-0.0191,0.713076
